ids,New,Approved,Committed,Done,Removed
165571,2023-04-17 07:14:26.470000+00:00,2023-04-18 14:32:59.270000+00:00,2023-04-19 11:22:38.130000+00:00,2023-04-20 07:25:19.383000+00:00,
165651,2023-04-17 00:38:40.550000+00:00,2023-05-15 11:03:30.537000+00:00,2023-05-18 10:01:38.037000+00:00,2023-05-29 11:49:59.270000+00:00,
165652,2023-04-17 00:39:23.040000+00:00,2023-05-10 11:27:06.150000+00:00,2023-05-10 13:06:27.107000+00:00,2023-05-12 11:30:07.423000+00:00,
165654,2023-04-17 07:14:27.093000+00:00,2023-05-18 10:20:01.030000+00:00,2023-05-29 11:36:49.583000+00:00,2023-05-30 09:59:22.080000+00:00,
165655,2023-04-17 00:45:27.757000+00:00,2023-05-12 07:05:23.800000+00:00,2023-05-12 11:30:21.177000+00:00,2023-05-15 13:17:16.377000+00:00,
165656,2023-04-17 07:14:27.093000+00:00,2023-05-15 07:16:16.173000+00:00,2023-05-15 11:03:30.537000+00:00,2023-05-19 19:40:14.870000+00:00,
165657,2023-06-19 14:20:34.277000+00:00,2023-05-29 11:49:59.270000+00:00,,2023-07-03 10:13:14.777000+00:00,
165658,2023-04-17 07:14:27.093000+00:00,2023-04-25 08:08:36.980000+00:00,2023-05-10 11:22:08.927000+00:00,2023-05-10 13:06:13.017000+00:00,
165691,2023-04-17 10:52:34.880000+00:00,2023-04-18 16:30:47.860000+00:00,2023-04-21 14:13:24.053000+00:00,2023-05-10 13:06:18.817000+00:00,
165726,2023-04-17 10:50:52.423000+00:00,2023-04-21 14:16:19.333000+00:00,2023-05-12 11:28:35.667000+00:00,2023-05-15 11:03:30.537000+00:00,
165743,2023-04-17 10:52:34.880000+00:00,2023-05-05 23:28:30.690000+00:00,2023-05-10 12:01:40.300000+00:00,2023-05-10 13:06:18.817000+00:00,
165746,2023-04-17 10:52:34.880000+00:00,2023-05-18 11:37:24.763000+00:00,2023-05-25 16:06:55.667000+00:00,2023-05-29 11:49:59.270000+00:00,
165794,2023-04-17 12:39:54.667000+00:00,2023-05-05 06:44:14.513000+00:00,2023-05-05 08:18:11.913000+00:00,2023-05-29 11:49:59.270000+00:00,
165796,2023-04-17 12:46:03.190000+00:00,2023-05-03 07:55:14.477000+00:00,2023-05-05 06:43:44.077000+00:00,2023-05-10 13:06:13.017000+00:00,
167057,2023-05-15 11:03:30.537000+00:00,2023-07-05 08:51:49+00:00,,,
167262,2023-05-15 12:03:13.690000+00:00,2023-05-17 12:47:38.693000+00:00,2023-05-19 08:12:03.957000+00:00,2023-06-13 11:59:15.657000+00:00,
167264,2023-05-15 11:35:35.043000+00:00,2023-05-18 14:32:20.963000+00:00,2023-05-24 08:06:58.110000+00:00,2023-05-30 09:59:22.080000+00:00,
167265,2023-05-15 12:03:13.690000+00:00,2023-05-19 18:54:34.920000+00:00,2023-06-08 11:59:38.817000+00:00,2023-06-08 14:36:17.897000+00:00,
167266,2023-05-15 12:03:13.690000+00:00,2023-05-19 18:55:22.487000+00:00,2023-06-08 06:32:27.943000+00:00,2023-06-15 12:22:22.940000+00:00,
167270,2023-05-15 11:52:21.807000+00:00,2023-05-30 09:59:22.080000+00:00,2023-06-02 16:44:06.453000+00:00,2023-06-06 10:29:21.357000+00:00,
167272,2023-05-15 11:55:50.507000+00:00,2023-05-25 06:33:28.553000+00:00,2023-05-31 08:03:49.823000+00:00,2023-06-13 11:59:15.657000+00:00,
167278,2023-05-15 13:12:45.187000+00:00,2023-05-18 06:28:55.317000+00:00,2023-05-19 08:12:11.643000+00:00,2023-06-13 12:00:23.577000+00:00,
167280,2023-05-15 13:15:45.757000+00:00,2023-06-14 07:55:32.360000+00:00,2023-06-14 17:36:39.020000+00:00,9999-01-01 00:00:00+00:00,
167281,2023-05-15 13:19:09.003000+00:00,2023-05-23 08:05:55.307000+00:00,2023-05-23 08:24:14.740000+00:00,2023-05-31 08:25:08.863000+00:00,
167284,2023-05-15 15:20:06.623000+00:00,2023-05-24 06:33:37.157000+00:00,2023-06-01 12:02:20.863000+00:00,2023-06-05 13:03:38.843000+00:00,
167286,2023-05-15 15:20:06.623000+00:00,2023-05-26 10:38:43.163000+00:00,2023-05-30 09:59:22.080000+00:00,2023-06-13 11:59:15.657000+00:00,
